Data,EOL,EOL_CAT,HID,HID_CAT,NUC,NUC_CAT,TER,TER_CAT,SIN-DM,SIN-DM_CAT,SIN-EA,SIN-EA_CAT,PLD,PLD_CAT,Preco,Preco_CAT,Preco_L,Preco_L_CAT
2012-08-31,0.02386226750913318,3,-0.01168169700076636,0,-0.017227475623994813,0,0.09085591254926349,4,0.0019039764284269655,2,-0.04595467061424821,0,0.12635156357457103,4,0.10076819775859239,4,0.020656315414466917,4
2012-09-30,0.04119383674884251,4,-0.012601173432256493,0,0.01844785468633195,4,0.07301922886893444,4,0.0007512841365855231,1,-0.045090113226437314,0,0.07657845920188633,4,0.08229532433465069,4,0.01476619109590148,3
2012-10-31,0.023249654511426212,2,-0.0098674857605855,0,0.01624731195801242,4,0.046095717579781495,4,1.404927722455025e-05,1,-0.03307047211215094,0,0.040990480180049346,3,0.06440770483169878,4,0.013394738170184552,3
2012-11-30,0.0074847757228237435,0,-0.0062644144001415495,1,-0.03666488926359402,0,0.03654246424329237,4,0.0005333032849233965,1,-0.019009670111182812,1,0.030195126606854836,3,0.05452180638160291,3,0.018500392345570323,3
2012-12-31,0.011576789179981938,1,-0.008751407265283114,0,-0.033072306595994624,0,0.06545610217994015,4,0.0016478029435781558,2,-0.01666131047885646,1,0.04432170757341415,3,0.06171572922257523,4,0.021944436827844353,4
2013-01-31,0.010041504727969079,1,-0.007983238194079558,1,-0.008226134954904544,1,0.06440840585216169,4,0.0023926151471857374,3,-0.012228953399505594,1,0.019990493628492357,3,0.04460717232899902,3,0.02350880787562153,4
2013-02-28,0.025266025884310768,3,0.004643289630499001,3,-0.00020057127056619735,2,0.04975488668413955,4,0.012706104892306436,4,0.003938393200577104,2,0.012226965453249304,2,0.037652067091066346,3,0.024436310760343433,4
2013-03-31,0.022325167540181334,2,-0.002780284766973636,1,-0.005458801469425269,1,0.023424587805804826,3,0.003395570127363778,3,-0.0011179189071946474,2,0.020716778095265207,3,0.03889335324189386,3,0.018512755770808263,3
2013-04-30,0.02179705777834582,2,-0.008607375468010327,0,-0.010435802562503609,1,-0.006808376963871301,2,-0.007050579576734719,0,-0.003930791543967094,1,0.010152595287592757,2,0.02230689408045095,3,0.010676406682070491,3
2013-05-31,0.053092570305137574,4,0.013945567332744187,4,0.00867605614305474,3,-0.0027253943332044067,2,0.013837960126351306,4,0.018863471630832778,3,-0.010066778725723808,2,0.011230421300355594,2,0.007810202076462439,3
2013-06-30,0.033391104178794824,3,0.0048691892374000305,3,8.892036269457828e-05,2,-0.01937620203123447,1,0.004163570986916237,3,0.015300213414750316,3,-0.002118928047408994,2,0.010802299595894507,2,0.007152856692409237,3
2013-07-31,0.020811826569456036,2,-0.0020351760952670925,2,0.005277626143761396,3,-0.022222929332388085,1,-0.004567092642216372,0,0.0087431537209437,2,-0.0007301603566272895,2,0.004290136762276478,2,0.007842781961995615,3
2013-08-31,0.034286871160797316,3,0.008008880872529888,3,0.0290709837104114,4,0.00910358578435577,3,0.007831892533934704,4,0.0033903386698613818,2,0.09138935760191533,4,0.04230843925772743,3,0.012908976126933331,3
2013-09-30,0.035198952886579794,3,0.0018670569349651385,2,0.01667091980482768,4,0.029939368620536845,3,0.006591028006007507,3,-0.013889100182857172,1,0.15961065909951017,4,0.0800105432853743,4,0.01821988615297362,3
2013-10-31,0.038119026492350785,3,-0.0021521467795949925,1,-0.0030193851933945624,1,0.03552516527310317,4,0.004844598174404158,3,-0.02482268334588174,0,0.13996234131487412,4,0.08988382960206062,4,0.02426534362173009,4
2013-11-30,0.052041192398825334,4,0.005953175385980484,3,0.03402211171701578,4,0.045803567380154515,4,0.012809134847953102,4,-0.02078799833009669,1,0.1204602256103291,4,0.09023004845207219,4,0.033887213778033345,4
2013-12-31,0.07284675367231919,4,-0.0033964605490387338,1,0.029162789061644205,4,0.034636426263950325,4,0.0027233912168701992,3,-0.033866747897684756,0,0.06587399610734421,4,0.0668614425779451,4,0.04129986413914425,4
2014-01-31,0.09807701390835018,4,-0.014849504071394884,0,-0.02164231229081707,0,0.02805825946012598,3,-0.007609119543262523,0,-0.044661167596577706,0,0.06264788660481994,3,0.07367669282532244,4,0.047556668890514346,4
2014-02-28,0.1252968661373881,4,-0.010288855370512776,0,-0.03208719771897374,0,0.05270020188278221,4,0.0009653272017870451,2,-0.0386252751748368,0,0.08869264645737679,4,0.08390454801988721,4,0.0521142629252263,4
2014-03-31,0.1146666649678089,4,-0.010505679502720494,0,-0.019146599493931705,0,0.047083501009411964,4,0.0008793327338813533,2,-0.039917478760444706,0,0.08078990528306555,4,0.07471838138633305,4,0.039801254024741925,4
2014-04-30,0.0992361883557388,4,-0.008487822971406052,0,0.0012905841804964758,2,0.036882482305203065,4,0.002038265706440553,2,-0.03680435914056189,0,0.07251457231788906,4,0.07164062261149604,4,0.027943759930136633,4
2014-05-31,0.0983398871628654,4,-0.0081821634325104,0,0.0022664927609912806,2,0.04161756341539071,4,0.0015526478149656348,2,-0.04429406960257447,0,0.06834943861505619,4,0.06157490885195689,4,0.029401998285675805,4
2014-06-30,0.081102406486829,4,-0.01027117416827682,0,0.0030239886239538266,2,0.04238642608393429,4,-0.0003094544613453019,1,-0.046857865092171616,0,0.050690464778994485,3,0.03846163399349886,3,0.02958242319338889,4
2014-07-31,0.08924887348274622,4,0.0005847275216270562,2,0.011881586845184674,3,0.04376812064527383,4,0.01107496580540671,4,-0.038640194004117154,0,0.01973879403839242,3,0.020878502129715204,3,0.028742620024896765,4
