Data,HID,TER,CE_SECO,GE_SECO,DM_SECO,CI_SECO,EA_SECO,LPC_SECO,PIB
2016-04-01,177965.89,35249.21,27092.53,25666.268,46118.592,79788.08,117914.4,121.826,518828.9
2016-05-01,185993.61,32316.24,34331.3,35098.7175,42611.59,79926.86,115495.5,127.525,513819.8
2016-06-01,176193.72999999998,35908.72,32936.5425,34528.67,41532.2,80268.68,115042.75,131.3875,521918.7
2016-07-01,219999.98,43384.79,33408.984,33885.846,42128.15,80296.82,107468.2,139.288,490284.0
2016-08-01,174034.04,38757.9,34329.06,34454.1125,42709.09,81467.72,95965.0,155.7425,491011.7
2016-09-01,170056.53999999998,42665.29,34687.47,34674.795,42789.85,81734.72,86451.75,155.6775,516985.9
2016-10-01,215540.12,54119.32,35246.154,35222.728,43873.564,81762.97,73602.0,152.99,508058.7
2016-11-01,178464.74,45317.96,34618.4675,35557.75999999999,44030.955,82208.71,68361.0,153.52,513267.5
2016-12-01,245571.21,41509.16,36308.742,37686.086,44531.35400000001,82252.18,67939.8,146.866,536459.3
2017-01-01,216455.7,30226.02,39228.7675,39687.6,47287.565,82714.88,72013.75,142.9125,532947.8
2017-02-01,223134.41,30525.22,40093.8475,40494.6375,48655.1,82739.88,81420.25,148.25,534761.8
2017-03-01,213022.12,36258.87,39240.1075,40593.9875,47269.505,82754.53,84081.5,160.8275,509975.0
2017-04-01,228893.57,51028.05,35583.04,37724.182,44367.418,82793.28,84528.6,170.94,525162.7
2017-05-01,179489.82,41406.240000000005,34493.58,36173.0775,42557.025,82813.55,86255.25,175.6275,541530.7
2017-06-01,176691.28,34597.23,33769.83,31941.845,42764.5225,82877.88,86784.0,172.0325,565780.5
2017-07-01,194716.04,58750.06,32765.466,33027.28,41754.126,82960.22,80517.0,170.758,526564.7
2017-08-01,149524.08000000002,57313.9,33794.815,33879.8375,42246.3625,83113.74,69210.75,167.92,514120.5
2017-09-01,193825.48,72297.86,35538.594,35696.8,44275.442,83399.88,54256.0,159.942,544312.9
2017-10-01,155881.19,61570.26,36598.4675,35414.8925,45317.29,83429.88,38667.5,160.3675,525238.1
2017-11-01,166472.55,53666.46,35977.385,36510.9275,44474.5075,83525.1,37035.25,159.7025,548887.7
2017-12-01,231014.93,54697.6,36681.226,39253.516,44468.306,83810.31,43544.958,158.228,556787.6
2018-01-01,209224.25,33054.649999999994,39558.7675,39521.2425,48520.5675,83946.56,60776.9875,157.885,557458.2
2018-02-01,215858.4,32666.68,38700.165,38973.9025,47310.0375,83993.07,71538.5625,158.6125,555578.7
2018-03-01,274536.38,40841.45,39733.966,40472.478,48496.456,83996.03,82772.652,168.358,528871.2
2018-04-01,197745.52,30616.61,36200.08,36505.94,44119.2675,84228.29,89200.45,169.305,549304.7
2018-05-01,176906.56,31460.52,33732.7625,33870.86,41955.8,84350.32,86725.7625,172.68,566209.3
2018-06-01,202173.42,55769.69,34019.84,34479.162,42689.69,84381.95,82247.584,178.18,588892.8
2018-07-01,154563.77000000002,48289.54,34005.1825,33427.8075,42739.8225,84429.04,72335.6175,181.2025,555644.6
2018-08-01,154667.94,49358.44,34339.0375,33680.6975,42880.75,84473.12,61569.26,181.8775,528905.5
2018-09-01,197180.82,63764.85,36019.248,32801.314,44584.694,84469.89,49310.952,167.552,560120.7
2018-10-01,180937.41,38293.79,36432.6625,35568.26,45503.915,84590.78,41844.155,163.5825,559359.8
2018-11-01,197775.99,23831.77,36727.53,36627.3825,45071.3475,84652.8,43672.015,161.5025,547016.5
2018-12-01,263371.67,26569.05,38119.832,37091.498,47253.98,84784.53,53998.572,159.774,580697.8
2019-01-01,233131.28,24214.78,42910.5575,40242.3175,52395.7775,84837.74,55958.375,163.855,583054.8
2019-02-01,217939.36,36774.36,40440.08,39315.6475,49357.9275,84883.24,55982.6575,176.9925,582756.7
2019-03-01,269378.11,38132.73,39121.726,36876.47,48651.156,84988.19,75232.32800000001,179.624,556776.6
2019-04-01,206545.7,28227.17,37243.465,35681.05,44962.31,85011.24,88997.26000000001,182.575,591983.9
2019-05-01,196909.34,27205.5,35713.185,32368.975,43760.8825,85169.69,94439.92,182.1525,593926.9
2019-06-01,222508.5,35090.130000000005,34550.21,31130.892,43167.718,85215.32,96322.508,179.72,603155.2
2019-07-01,157424.95,40011.39,33225.085,30569.6625,42289.45,85219.82,92790.2775,179.62,578452.6
2019-08-01,188923.84,58213.53,34333.67,32723.298,42583.242,85394.94,82950.972,177.572,567984.5
2019-09-01,164943.43,47353.12,37240.545,36899.49,46232.8725,85604.88,66322.8475,164.47,579172.6
2019-10-01,169924.87,49632.34,37859.33,37483.7975,46437.555,85856.82,50602.81,165.775,592916.0
2019-11-01,219309.81,60352.81,37002.64,35542.878,45805.732,85962.12,40013.836,166.716,604607.4
2019-12-01,179345.52,41908.36,36781.2775,38823.39999999999,44732.27250000001,80259.42,40225.6375,166.6225,598283.0
2020-01-01,206931.12,46885.4,39915.2325,42034.78,48848.7175,80260.42,45678.8775,169.3075,627049.7
2020-02-01,277822.75,37864.97,39185.038,40542.298,46977.626,80279.26,72394.51999999999,171.776,616157.6
2020-03-01,211408.87,26632.19,37852.015,38398.1025,45659.765,80297.03,100120.145,169.25,614187.9
2020-04-01,177296.78999999998,22330.34,31906.8625,33513.0125,41217.8025,80318.69,110153.8425,159.7825,641340.1
2020-05-01,213388.45,30529.28,31557.576,32842.98,41146.092,80462.86,111997.984,150.718,634826.2
2020-06-01,167248.35,27733.47,32670.88,31337.755,42179.72,80464.7,109146.845,150.1325,646343.1
2020-07-01,174529.47999999998,26088.92,33653.7775,30494.595,43287.9975,80480.45,101715.8975,149.61,617747.2
2020-08-01,218709.04,33116.21,35090.97,31263.58,44974.07,80514.65,89377.48199999999,147.484,609810.8
2020-09-01,190559.44,26567.53,38711.1275,34341.9525,47785.05,80561.6,72811.7225,147.0275,616335.3
2020-10-01,215581.38,64107.61,37916.414,36624.816,47351.864,80462.58,52440.6,150.662,555387.4
2020-11-01,168252.83000000002,56746.26,39156.82,37968.5275,47492.405,80462.58,38685.335,157.815,561628.4
2020-12-01,171695.13,51251.91,38363.765,36096.155,47416.85,80412.54,35438.3675,159.9425,591537.3
2021-01-01,238525.69,64085.32,41778.44,38173.728,49694.548,80412.54,45171.23,161.542,629700.9
2021-02-01,207622.2,37533.39,40311.885,36699.995,48140.72,80427.52,57327.3575,163.905,625136.3
2021-03-01,218905.08,37085.630000000005,41582.375,37203.4,49095.845,80431.54,70181.1725,163.4075,635263.9
2021-04-01,195997.89,40852.09,38758.84,34548.5225,47066.305,80478.82,71914.8825,170.9,661149.0
2021-05-01,222832.82,61782.76,38212.682,34824.496,48053.09,80503.82,67185.05,188.41,665182.8
2021-06-01,152985.12,68095.75,37383.1825,33694.2875,46820.6075,80505.82,61171.1125,216.9675,685042.6
2021-07-01,170669.18,91242.15,36494.666,29696.204,46752.958,80649.93,54992.83200000001,235.298,653790.4
2021-08-01,132524.22,91566.49,38643.7375,34800.175,48336.24,80912.55,46315.6275,236.2875,676255.0
2021-09-01,141624.74,74890.78,40398.81,31053.3275,49509.6225,82294.82,36402.1675,203.2675,735993.6
2021-10-01,178007.19,92090.59,37725.72,30987.7,47455.61,82563.22,35835.694,183.186,713652.1
2021-11-01,168375.84,65619.66,40222.475,35379.0375,49353.5825,82624.13,39305.7025,177.3175,712134.2
2021-12-01,185518.44,46646.76,39468.505,35169.7375,47661.6525,82987.57,47002.8975,179.0925,714893.3
2022-01-01,265614.3,47837.61,41443.068,36251.602,49780.44,82952.57,75050.97,177.332,743091.8
2022-02-01,228729.71,26930.5,42813.01,38237.63,50479.255,82927.59,112078.4925,176.03,740615.1
2022-03-01,231091.23,22452.98,44152.545,39102.76,52266.9475,82986.94,126461.36,182.48,745774.4
2022-04-01,270056.92,22309.49,40832.812,32483.01,49907.714,83039.5,135092.884,179.77,755323.0
